id	filename	md5	size	state
ed5099b6-645e-49e9-a12e-efc1e844d350	TCGA-FG-A70Y-01Z-00-DX1.9A06E22B-6845-493B-BE36-2FD5A83AF122.svs	6ae74ba0a61ae7d2be17c86918eead66	324870269	released
29971f7f-e4e3-4368-bcc9-28acf2612f8f	TCGA-CS-5390-01Z-00-DX1.3C241E8A-D2E7-4C8D-ABDF-60391D8A32AD.svs	48096a919728ec5ab431123645c54adc	197703791	released
b5e6142c-ac0c-4f4f-9508-744760bb5a21	TCGA-DU-8163-01Z-00-DX1.0f6383ea-6dd4-4424-b7b1-ec19d17d8d1a.svs	bac96a5cffcac47342516edef704d34e	94859651	released
74e99647-e258-4b09-800e-24b25da416fc	TCGA-WY-A858-01Z-00-DX1.4D36E628-9C20-46D9-8617-C6903A1535A9.svs	ffed9823247f4d5dc573ccf4083a93be	1869582753	released
6ca2c341-76cb-4280-9027-3e4ad786b1e0	TCGA-HT-7879-01Z-00-DX3.8FE9F4DF-1A18-4A09-A796-70FEF7C512A9.svs	7d1e7facb4aff17cad2932f6e9788cbd	939432029	released
a0cef4df-cdbd-4002-af10-967ba42dba73	TCGA-DU-7309-01Z-00-DX1.C4D67475-FE07-4B6A-A766-A4D339A51561.svs	46b9d2163c81b27dc4da24e50ed04f39	465754580	released
f015141f-9128-4e96-ba8d-86ef07a00351	TCGA-S9-A7IQ-01Z-00-DX1.3B4A20BF-6303-475D-BE85-014922FA02DA.svs	ca30458cc8be5578c107a7408de5cde3	2206759209	released
ccf293c3-8962-499c-817a-3909ed4496b3	TCGA-DH-A66F-01Z-00-DX1.820376E3-0710-4EF5-B3EA-9F56540B93FD.svs	90968bacb49396984f7f4f14a26ce989	1418101789	released
3861f9b8-eafc-464a-9cbb-e9eaae4d37a3	TCGA-TQ-A7RO-01Z-00-DX1.18B7FCA6-3AD0-43A1-B117-A9C8017DD783.svs	cdc0f10672592847a1ad9b64a4f223dd	2092270785	released
3e2c3fd7-7dda-4afb-984f-ec2e556bbd59	TCGA-DU-A7TB-01Z-00-DX1.D81A49F7-D5B5-42AC-BB15-24A8DBF3E2F3.svs	2a7f6ba01575dcf446ada9c2df9d04be	197591813	released
